Time(s),SeqNum,Digital0,Digital1,Digital2,Digital3,Analog0,Analog1,Analog2,Analog3,Analog4,Analog5
0.0,0,1,1,1,1,511,1,493,510,0,0
0.001,1,1,1,1,1,512,1,505,511,0,0
0.002,2,1,1,1,1,510,2,512,505,0,0
0.003,3,1,1,1,1,512,1,528,508,0,0
0.004,4,1,1,1,1,510,1,509,510,0,0
0.005,5,1,1,1,1,513,1,500,509,0,0
0.006,6,1,1,1,1,512,1,502,507,0,0
0.007,7,1,1,1,1,514,1,510,508,0,0
0.008,8,1,1,1,1,514,1,517,507,0,0
0.009,9,1,1,1,1,511,1,513,510,0,0
0.01,10,1,1,1,1,511,2,502,510,0,0
0.011,11,1,1,1,1,511,1,510,507,0,0
0.012,12,1,1,1,1,510,1,510,508,0,0
0.013,13,1,1,1,1,511,1,512,508,0,0
0.014,14,1,1,1,1,512,1,518,508,0,0
0.015,15,1,1,1,1,512,1,517,508,0,0
0.016,0,1,1,1,1,512,1,509,509,0,0
0.017,1,1,1,1,1,509,1,509,509,0,0
0.018,2,1,1,1,1,512,2,519,508,0,0
0.019,3,1,1,1,1,511,1,523,510,0,0
0.02,4,1,1,1,1,510,1,520,508,0,0
0.021,5,1,1,1,1,512,1,515,508,0,0
0.022,6,1,1,1,1,513,1,513,510,0,0
0.023,7,1,1,1,1,512,1,501,507,0,0
0.024,8,1,1,1,1,512,1,496,508,0,0
0.025,9,1,1,1,1,513,1,499,510,0,0
0.026,10,1,1,1,1,508,2,503,507,0,0
0.027,11,1,1,1,1,511,1,503,509,0,0
0.028,12,1,1,1,1,510,1,492,505,0,0
0.029,13,1,1,1,1,512,1,481,506,0,0
0.03,14,1,1,1,1,513,1,487,507,0,0
0.031,15,1,1,1,1,510,1,481,509,0,0
0.032,0,1,1,1,1,510,1,487,508,0,0
0.033,1,1,1,1,1,511,1,498,508,0,0
0.034,2,1,1,1,1,512,1,500,507,0,0
0.035,3,1,1,1,1,510,1,514,509,0,0
0.036,4,1,1,1,1,512,1,514,509,0,0
0.037,5,1,1,1,1,513,1,513,510,0,0
0.038,6,1,1,1,1,512,1,521,510,0,0
0.039,7,1,1,1,1,511,1,516,507,0,0
0.04,8,1,1,1,1,515,1,516,508,0,0
0.041,9,1,1,1,1,513,1,522,508,0,0
0.042,10,1,1,1,1,512,1,511,510,0,0
0.043,11,1,1,1,1,510,1,513,508,0,0
0.044,12,1,1,1,1,511,1,511,507,0,0
0.045,13,1,1,1,1,511,1,508,509,0,0
0.046,14,1,1,1,1,509,1,510,508,0,0
0.047,15,1,1,1,1,511,1,514,509,0,0
0.048,0,1,1,1,1,510,1,525,508,0,0
0.049,1,1,1,1,1,512,1,527,509,0,0
0.05,2,1,1,1,1,511,2,529,507,0,0
0.051,3,1,1,1,1,512,1,545,510,0,0
0.052,4,1,1,1,1,511,1,548,510,0,0
0.053,5,1,1,1,1,511,1,551,509,0,0
0.054,6,1,1,1,1,513,1,544,512,0,0
0.055,7,1,1,1,1,512,1,538,508,0,0
0.056,8,1,1,1,1,511,1,513,507,0,0
0.057,9,1,1,1,1,511,1,504,506,0,0
0.058,10,1,1,1,1,512,2,507,508,0,0
0.059,11,1,1,1,1,512,1,515,507,0,0
0.06,12,1,1,1,1,511,1,501,509,0,0
0.061,13,1,1,1,1,512,1,504,510,0,0
0.062,14,1,1,1,1,513,1,507,510,0,0
0.063,15,1,1,1,1,511,1,497,508,0,0
0.064,0,1,1,1,1,511,1,497,508,0,0
0.065,1,1,1,1,1,511,1,505,508,0,0
0.066,2,1,1,1,1,510,2,526,508,0,0
0.067,3,1,1,1,1,511,1,535,509,0,0
0.068,4,1,1,1,1,512,1,535,507,0,0
0.069,5,1,1,1,1,514,1,528,510,0,0
0.07,6,1,1,1,1,512,1,528,506,0,0
0.071,7,1,1,1,1,513,1,533,507,0,0
0.072,8,1,1,1,1,511,1,533,507,0,0
0.073,9,1,1,1,1,511,1,533,506,0,0
0.074,10,1,1,1,1,511,2,516,507,0,0
0.075,11,1,1,1,1,511,1,515,509,0,0
0.076,12,1,1,1,1,511,1,505,512,0,0
0.077,13,1,1,1,1,513,1,507,511,0,0
0.078,14,1,1,1,1,512,1,503,508,0,0
0.079,15,1,1,1,1,511,0,502,507,0,0
0.08,0,1,1,1,1,512,1,494,507,0,0
0.081,1,1,1,1,1,512,1,500,509,0,0
0.082,2,1,1,1,1,512,2,508,509,0,0
0.083,3,1,1,1,1,511,1,498,507,0,0
0.084,4,1,1,1,1,511,1,497,507,0,0
0.085,5,1,1,1,1,509,1,500,508,0,0
0.086,6,1,1,1,1,511,1,506,508,0,0
0.087,7,1,1,1,1,513,0,519,509,0,0
0.088,8,1,1,1,1,512,1,516,509,0,0
0.089,9,1,1,1,1,513,1,502,509,0,0
0.09,10,1,1,1,1,512,2,499,507,0,0
0.091,11,1,1,1,1,511,1,501,506,0,0
0.092,12,1,1,1,1,511,1,497,509,0,0
0.093,13,1,1,1,1,511,1,508,509,0,0
0.094,14,1,1,1,1,511,1,504,511,0,0
0.095,15,1,1,1,1,512,1,502,510,0,0
0.096,0,1,1,1,1,513,1,508,511,0,0
0.097,1,1,1,1,1,512,1,504,508,0,0
0.098,2,1,1,1,1,511,2,504,508,0,0
0.099,3,1,1,1,1,509,1,505,505,0,0
0.1,4,1,1,1,1,512,1,504,506,0,0
0.101,5,1,1,1,1,513,1,507,507,0,0
0.102,6,1,1,1,1,512,1,499,510,0,0
0.103,7,1,1,1,1,510,1,504,510,0,0
0.104,8,1,1,1,1,510,1,505,509,0,0
0.105,9,1,1,1,1,511,1,512,510,0,0
0.106,10,1,1,1,1,513,2,518,509,0,0
0.107,11,1,1,1,1,512,1,511,509,0,0
0.108,12,1,1,1,1,512,1,512,508,0,0
0.109,13,1,1,1,1,510,1,511,508,0,0
0.11,14,1,1,1,1,512,1,514,507,0,0
0.111,15,1,1,1,1,512,1,500,508,0,0
0.112,0,1,1,1,1,512,1,508,510,0,0
0.113,1,1,1,1,1,512,1,504,508,0,0
0.114,2,1,1,1,1,511,2,509,508,0,0
0.115,3,1,1,1,1,510,1,508,508,0,0
0.116,4,1,1,1,1,511,0,516,508,0,0
0.117,5,1,1,1,1,512,1,517,507,0,0
0.118,6,1,1,1,1,511,1,510,508,0,0
0.119,7,1,1,1,1,512,1,500,507,0,0
0.12,8,1,1,1,1,512,1,503,508,0,0
0.121,9,1,1,1,1,512,1,499,509,0,0
0.122,10,1,1,1,1,513,2,502,508,0,0
0.123,11,1,1,1,1,512,1,502,509,0,0
0.124,12,1,1,1,1,511,0,511,507,0,0
0.125,13,1,1,1,1,509,1,513,509,0,0
0.126,14,1,1,1,1,513,1,518,507,0,0
0.127,15,1,1,1,1,511,1,506,509,0,0
0.128,0,1,1,1,1,511,1,506,510,0,0
0.129,1,1,1,1,1,510,1,499,510,0,0
0.13,2,1,1,1,1,513,2,510,509,0,0
0.131,3,1,1,1,1,513,1,512,508,0,0
0.132,4,1,1,1,1,511,0,513,509,0,0
0.133,5,1,1,1,1,511,1,505,508,0,0
0.134,6,1,1,1,1,512,1,504,507,0,0
0.135,7,1,1,1,1,514,1,507,509,0,0
0.136,8,1,1,1,1,512,1,524,509,0,0
0.137,9,1,1,1,1,512,1,527,508,0,0
0.138,10,1,1,1,1,510,1,505,509,0,0
0.139,11,1,1,1,1,511,1,494,507,0,0
0.14,12,1,1,1,1,511,1,496,510,0,0
0.141,13,1,1,1,1,510,1,498,511,0,0
0.142,14,1,1,1,1,512,1,499,509,0,0
0.143,15,1,1,1,1,511,1,501,509,0,0
0.144,0,1,1,1,1,511,1,504,508,0,0
0.145,1,1,1,1,1,511,1,517,506,0,0
0.146,2,1,1,1,1,510,1,534,509,0,0
0.147,3,1,1,1,1,513,1,521,508,0,0
0.148,4,1,1,1,1,510,1,505,508,0,0
0.149,5,1,1,1,1,512,1,498,508,0,0
0.15,6,1,1,1,1,512,1,519,507,0,0
0.151,7,1,1,1,1,512,1,520,506,0,0
0.152,8,1,1,1,1,512,1,520,510,0,0
0.153,9,1,1,1,1,510,1,516,508,0,0
0.154,10,1,1,1,1,510,1,533,510,0,0
0.155,11,1,1,1,1,515,1,521,508,0,0
0.156,12,1,1,1,1,512,1,509,508,0,0
0.157,13,1,1,1,1,512,1,511,509,0,0
0.158,14,1,1,1,1,511,1,515,508,0,0
0.159,15,1,1,1,1,511,1,494,510,0,0
0.16,0,1,1,1,1,511,1,477,510,0,0
0.161,1,1,1,1,1,512,1,472,511,0,0
0.162,2,1,1,1,1,512,2,483,507,0,0
0.163,3,1,1,1,1,511,1,489,510,0,0
0.164,4,1,1,1,1,512,0,498,509,0,0
0.165,5,1,1,1,1,511,1,500,511,0,0
0.166,6,1,1,1,1,511,1,503,510,0,0
0.167,7,1,1,1,1,511,1,504,509,0,0
0.168,8,1,1,1,1,512,1,509,507,0,0
0.169,9,1,1,1,1,512,1,500,508,0,0
0.17,10,1,1,1,1,512,2,511,507,0,0
0.171,11,1,1,1,1,510,1,506,506,0,0
0.172,12,1,1,1,1,512,0,505,510,0,0
0.173,13,1,1,1,1,515,1,508,507,0,0
0.174,14,1,1,1,1,511,1,508,505,0,0
0.175,15,1,1,1,1,510,1,510,508,0,0
0.176,0,1,1,1,1,508,1,519,511,0,0
0.177,1,1,1,1,1,510,1,523,507,0,0
0.178,2,1,1,1,1,512,2,531,509,0,0
0.179,3,1,1,1,1,512,1,517,510,0,0
0.18,4,1,1,1,1,512,0,524,511,0,0
0.181,5,1,1,1,1,512,1,528,511,0,0
0.182,6,1,1,1,1,511,1,522,508,0,0
0.183,7,1,1,1,1,511,1,519,508,0,0
0.184,8,1,1,1,1,511,1,514,508,0,0
0.185,9,1,1,1,1,511,1,513,508,0,0
0.186,10,1,1,1,1,511,2,515,507,0,0
0.187,11,1,1,1,1,511,1,522,506,0,0
0.188,12,1,1,1,1,511,1,516,510,0,0
0.189,13,1,1,1,1,513,1,519,507,0,0
0.19,14,1,1,1,1,513,1,518,507,0,0
0.191,15,1,1,1,1,512,1,519,511,0,0
0.192,0,1,1,1,1,511,1,513,508,0,0
0.193,1,1,1,1,1,513,1,520,509,0,0
0.194,2,1,1,1,1,512,2,520,506,0,0
0.195,3,1,1,1,1,511,1,526,509,0,0
0.196,4,1,1,1,1,511,1,522,507,0,0
0.197,5,1,1,1,1,513,1,515,508,0,0
0.198,6,1,1,1,1,511,1,513,510,0,0
0.199,7,1,1,1,1,513,1,503,507,0,0
0.2,8,1,1,1,1,512,1,495,508,0,0
0.201,9,1,1,1,1,512,1,496,507,0,0
0.202,10,1,1,1,1,513,2,493,508,0,0
0.203,11,1,1,1,1,511,1,501,507,0,0
0.204,12,1,1,1,1,512,1,505,510,0,0
0.205,13,1,1,1,1,511,1,496,510,0,0
0.206,14,1,1,1,1,512,1,496,510,0,0
0.207,15,1,1,1,1,513,0,496,509,0,0
0.208,0,1,1,1,1,509,1,496,508,0,0
